Student_ID,Subject,Exam_Score,Homework_Completion_%,Teacher_Comments,Homework_Score,Final_Score
S06653,Math,91,-5,Want various three peace international across charge account particularly really travel hope.,5.0,65.19999999999999
S11624,English,51,100%,Beautiful American health set standard anyone mention.,100.0,65.69999999999999
S08749,History,47,95,After class area dinner one consumer stock speech music plan month up back.,95.0,61.4
S11704,History,52,95,Any game strategy bag never enough.,95.0,64.9
S11553,Science,72,80%,Expect positive data technology a century kid eight fire open fall nation.,80.0,74.4
S01641,English,85,100%,Thousand result recognize team article science Mrs already full.,100.0,89.5
S04949,Geography,88,80%,Seat agreement law force adult themselves better side continue speak put place.,80.0,85.6
S02169,English,100,100%,,100.0,100.0
S11480,Arabic,108,100%,Push make more PM morning garden.,100.0,105.6
S08311,Math,109,95,Per us husband election alone part continue three.,95.0,104.8
S03423,History,55,90,,90.0,65.5
S04327,History,90,80%,Food president itself relate realize order weight matter.,80.0,87.0
S11050,Arabic,49,100%,City total pretty land during better third production responsibility in.,100.0,64.3
S01793,Arabic,75,95,Property answer season perform yet unit my bad forget subject.,95.0,81.0
S08371,Science,46,100%,Number however oil really perform contain finally old cause right.,100.0,62.199999999999996
S07020,Math,72,90,Focus particularly necessary century billion parent government right trial different government continue may.,90.0,77.4
S02767,Science,106,95,Finally medical model away mean nothing others sport blue collection probably imagine raise.,95.0,102.69999999999999
S03990,Science,97,80%,Almost better art check ground better than.,80.0,91.89999999999999
S04497,English,69,90,Wide result data role officer six picture thing grow popular democratic.,90.0,75.3
S11980,Arabic,45,100%,Business tonight world common guess enjoy involve always weight leave involve.,100.0,61.5
S00123,English,76,90,Surface employee it resource according stand finish responsibility.,90.0,80.19999999999999
S02734,English,46,80%,,80.0,56.199999999999996
S11326,Science,103,100%,Student speech almost kind truth can.,100.0,102.1
S11766,Geography,69,80%,Ask seem usually recognize discuss alone catch order goal purpose.,80.0,72.3
S08060,Arabic,83,90,Population institution institution force article soon space box leader tree.,90.0,85.1
S01276,Arabic,46,100%,Build per kind mind think chance protect.,100.0,62.199999999999996
S08366,History,62,80%,Light understand impact everyone produce really computer.,80.0,67.4
S03975,Arabic,46,-5,Buy nation likely summer resource agree nearly opportunity each picture sense maintain and.,5.0,33.699999999999996
S05359,English,86,90,Color serve safe next available close ever history forget others quickly five person.,90.0,87.19999999999999
S01572,Arabic,40,90,Gun class someone fight chair safe know away education.,90.0,55.0
S08712,English,77,-5,Spend turn per skin time there parent near sell than young quite activity.,5.0,55.4
S10874,Arabic,107,80%,Ability stand nor edge blue world music put medical bad story left.,80.0,98.89999999999999
S06334,Arabic,61,90,Music catch choose card cause suffer issue body.,90.0,69.69999999999999
S04936,Arabic,95,-5,Base someone treat beautiful keep stuff back along establish among back different professional.,5.0,68.0
S08566,Math,89,100%,Wish collection early turn capital visit body conference.,100.0,92.3
S05716,History,73,90,Front run scene herself its energy large region your free respond.,90.0,78.1
S00069,History,46,95,Success city after new hear knowledge there myself whole democratic.,95.0,60.699999999999996
S11050,Science,109,95,Mission her think day rest debate high cold yourself appear scene organization.,95.0,104.8
S05572,History,78,90,,90.0,81.6
S05817,Arabic,45,-5,Fight a light development deep region total song successful meeting remain off every.,5.0,33.0
S08989,Arabic,110,-5,Institution value structure special approach number know fear opportunity.,5.0,78.5
S00250,Math,79,-5,Piece adult relationship fine president all.,5.0,56.8
S07309,Geography,101,-5,National send college cost bar cost Republican develop particularly institution.,5.0,72.19999999999999
S08173,Science,85,80%,Record peace indeed garden yet century late eight exactly get hot.,80.0,83.5
S06096,Science,81,95,Material indicate tough usually ahead above toward feel level produce from.,95.0,85.19999999999999
S11619,Arabic,81,95,Six wait similar arrive military sister bring who.,95.0,85.19999999999999
S10162,History,98,95,,95.0,97.1
S09936,Geography,84,100%,Read human approach job collection control phone charge sea town military early bar.,100.0,88.8
S00298,History,64,95,Once religious listen car head claim individual despite garden.,95.0,73.3
S11821,History,46,-5,Father represent somebody various computer mind song add fly seat some rock lose.,5.0,33.699999999999996
S01470,History,82,80%,,80.0,81.4
S06628,Science,95,80%,Wish your whether safe rock plant buy expect crime.,80.0,90.5
S02644,History,58,80%,List teacher someone clear laugh nice that strategy rate actually.,80.0,64.6
S05098,English,110,100%,Face improve hospital ok rate soldier American describe.,100.0,107.0
S02758,Math,51,95,His himself partner fact campaign middle operation address scientist family.,95.0,64.19999999999999
S05699,Science,64,-5,Draw require spend require bank support wish.,5.0,46.3
S04420,History,51,100%,Stock today center suddenly tree probably any.,100.0,65.69999999999999
S01021,Arabic,49,80%,,80.0,58.3
S11709,Arabic,49,95,South three accept source under discussion although song.,95.0,62.8
S00686,English,48,80%,Effect fly story discuss way agreement call military factor movement.,80.0,57.599999999999994
S04413,History,84,100%,Move from industry beautiful magazine long note ready officer including challenge.,100.0,88.8
S06898,Math,90,-5,Specific require order charge rich clearly through assume social ok present.,5.0,64.5
S09182,Science,73,100%,,100.0,81.1
S10123,Arabic,72,80%,Show approach she generation summer evidence place arm kid accept clear.,80.0,74.4
S08233,Math,89,80%,Range include mother each society there task stand whom give.,80.0,86.3
S08471,Arabic,41,90,Morning admit read issue image including forward there cut tax morning guy.,90.0,55.7
S03814,Math,109,95,Least quite else game short not.,95.0,104.8
S10122,History,66,80%,Analysis difference significant research four among dream.,80.0,70.19999999999999
S04199,Science,49,95,Television take become join wonder enough join human drop all you.,95.0,62.8
S02826,Science,59,80%,Policy focus north question wall full well discover nice if culture.,80.0,65.3
S05925,English,64,90,South natural worry market safe issue.,90.0,71.8
S09308,Arabic,70,80%,Also sing coach cut really audience.,80.0,73.0
S09468,Geography,85,80%,Great animal some these people player explain throw as impact while could many.,80.0,83.5
S11412,History,84,80%,Enough part around stage song let successful ball build identify fire almost.,80.0,82.8
S02509,Science,103,-5,Fine difference letter expert wind risk whose political middle.,5.0,73.6
S04846,Math,106,90,Clear individual with around high doctor government clearly turn thus increase claim.,90.0,101.19999999999999
S01325,English,86,-5,Heavy buy star authority along model.,5.0,61.699999999999996
S10843,Geography,94,100%,Direction organization world move open evidence partner structure pass land the statement performance.,100.0,95.8
S05946,Arabic,88,-5,Life seven significant painting land east.,5.0,63.099999999999994
S11885,Science,57,100%,Letter yourself local what total art them alone child behind join will.,100.0,69.9
S06039,English,67,90,Prevent save animal natural education myself ground power door sell want recognize gun.,90.0,73.9
S06033,Arabic,49,80%,Or four available although can father source American hold.,80.0,58.3
S11202,Science,106,-5,Perform hold establish professor sing certainly deal.,5.0,75.69999999999999
S11480,Math,72,80%,Eat skill interview position important idea authority develop.,80.0,74.4
S04604,Arabic,44,95,Way my operation direction teach part.,95.0,59.3
S09027,English,61,100%,Wear probably necessary weight enjoy son note past finally site.,100.0,72.69999999999999
S03068,History,79,-5,Generation heart themselves report very do can body offer tax.,5.0,56.8
S04791,English,99,90,Military social thought authority near relate mention old bit.,90.0,96.3
S09999,Science,50,80%,Director capital first oil late generation far decision interesting sure bag ok letter.,80.0,59.0
S08187,English,59,80%,History former nor main remain when quickly sense.,80.0,65.3
S10875,Science,66,95,Show civil piece Congress back condition serve born be authority after.,95.0,74.69999999999999
S10146,History,107,-5,Ever case week produce whom ability wait bar film clearly base science which.,5.0,76.39999999999999
S09699,Geography,99,95,Particularly realize movement cause up government past mention.,95.0,97.8
S08337,English,47,95,Indicate suggest discussion yeah president fast together eat relate computer cultural.,95.0,61.4
S03695,Math,98,95,,95.0,97.1
S07771,Science,94,100%,According kind cost exactly ability show audience allow.,100.0,95.8
S08830,History,90,90,Reflect believe piece job industry middle computer strategy word analysis sport movie.,90.0,90.0
S05815,Arabic,73,100%,Walk fly surface management type discover very tend pull activity past quality conference for.,100.0,81.1
S10200,Math,81,80%,All above show former baby chance bill part again push age program.,80.0,80.69999999999999
S08518,Arabic,75,80%,Include page trade eat decide current either check him.,80.0,76.5
S11249,History,79,80%,Letter term movement throughout though difference foot quickly threat respond new ability.,80.0,79.3
S00617,Math,93,95,Far possible will scene simple surface they product behavior.,95.0,93.6
S07537,Arabic,102,-5,List ever significant possible stop floor.,5.0,72.89999999999999
S06640,Arabic,68,100%,Central partner gun such just consumer century name quickly fast open third west.,100.0,77.6
S09610,History,50,100%,,100.0,65.0
S05276,Geography,75,100%,,100.0,82.5
S05693,Science,108,-5,Painting sort son reach employee before director prove brother want medical listen war.,5.0,77.1
S07187,History,83,90,Age voice may six first collection design.,90.0,85.1
S07655,English,40,80%,Challenge step physical career common detail along.,80.0,52.0
S06241,Math,43,90,Drop natural value major reduce success environmental main herself commercial institution imagine.,90.0,57.099999999999994
S02507,English,96,95,Worry until reduce now call democratic spend make imagine heavy.,95.0,95.69999999999999
S10447,Arabic,41,100%,Ready thank bad with clearly better nothing upon treatment wide.,100.0,58.7
S00883,Arabic,40,95,Personal if sit artist speech mind information expect themselves.,95.0,56.5
S11813,Math,61,95,Question radio benefit customer control according move structure while ground establish.,95.0,71.19999999999999
S01506,Arabic,71,95,Feeling leave decade face computer bag sure nation school sound race information include.,95.0,78.19999999999999
S09028,English,81,90,Agency store maintain husband bill she kind eye among property anything product star.,90.0,83.69999999999999
S02940,English,106,90,,90.0,101.19999999999999
S06896,Arabic,44,80%,Friend serious friend level want floor floor job others green.,80.0,54.8
S08940,Science,63,-5,Weight cut second economic situation different use city safe.,5.0,45.599999999999994
S08661,Science,51,95,Hour within indeed a life third.,95.0,64.19999999999999
S04788,Math,72,90,Matter drug eat just message of per wonder.,90.0,77.4
S09197,Math,46,-5,Near source face man project international letter unit.,5.0,33.699999999999996
S09145,Geography,70,100%,Success subject whether kid station find.,100.0,79.0
S11517,Science,68,100%,Include table table conference paper former they feeling local who business expert base.,100.0,77.6
S09949,Science,73,95,National story down where consumer evidence room cover south not a.,95.0,79.6
S02705,Science,54,95,,95.0,66.3
S11500,Arabic,109,80%,Wind since professor occur you human.,80.0,100.3
S09592,English,53,-5,May gun gun fast space office though itself question time main worry land.,5.0,38.599999999999994
S11137,History,57,100%,Four soldier section determine this eye course really generation itself stop change sense.,100.0,69.9
S02575,History,55,100%,,100.0,68.5
S06101,English,58,80%,Among natural property article institution effect guess fly before yard onto southern statement stand.,80.0,64.6
S03676,Arabic,60,100%,Ever new police account style choice leave address man interesting far perform.,100.0,72.0
S00786,English,84,100%,Plant information house there soldier floor heavy Republican quality quickly it.,100.0,88.8
S05543,Math,88,100%,Owner computer interest could serve hundred.,100.0,91.6
S04656,Arabic,45,-5,Today effort easy position however send red near training.,5.0,33.0
S00366,Arabic,67,80%,Structure born radio report big traditional data do.,80.0,70.9
S00545,Math,76,-5,Vote really represent agree learn author we run seek avoid.,5.0,54.699999999999996
S03902,Science,96,-5,Somebody ok song attack authority seven take herself man next discover.,5.0,68.69999999999999
S05272,Geography,57,100%,Per sing from ready finish difference plan get woman clear.,100.0,69.9
S02820,Math,49,90,Ground listen both little ahead watch point leader.,90.0,61.3
S03812,Arabic,102,90,Recently senior participant media yeah central southern.,90.0,98.39999999999999
S11770,English,54,100%,Seem save tend region well information already recognize bill ability join.,100.0,67.8
S03001,English,88,-5,Man this listen start another during you hour theory seat recognize.,5.0,63.099999999999994
S11828,Geography,45,95,And particular body camera sport charge investment last.,95.0,60.0
S07235,Arabic,80,90,Draw few partner anything sister star we kitchen record school.,90.0,83.0
S04511,Arabic,58,100%,Trial reason cover movie their music responsibility game always chance owner.,100.0,70.6
S09406,Science,60,95,Down final indicate bag serve measure collection many daughter need.,95.0,70.5
S05896,Arabic,45,-5,American hair around last really spring.,5.0,33.0
S03857,Science,89,100%,However huge glass new reality avoid.,100.0,92.3
S06128,History,41,-5,Table support number with staff shake friend wonder challenge low against risk.,5.0,30.2
S02285,Geography,89,80%,,80.0,86.3
S07211,Geography,46,95,Trade glass century about room artist all center phone loss find including step.,95.0,60.699999999999996
S02210,Arabic,77,-5,Professor hair first investment medical world edge service.,5.0,55.4
S02270,Science,47,95,Work Republican citizen wear right mind agree camera career send the particular.,95.0,61.4
S02832,English,89,80%,They network character amount scientist yourself soldier everybody.,80.0,86.3
S07472,Geography,99,90,Responsibility we effort involve other add baby she.,90.0,96.3
S08404,History,45,100%,Black anything scene night out under task.,100.0,61.5
S08904,Math,76,-5,Send drive special sometimes black charge new easy as.,5.0,54.699999999999996
S04796,Arabic,86,95,Coach specific network bill for else take television kind hot ready political others.,95.0,88.69999999999999
S00271,Geography,41,90,Trip suddenly executive staff impact represent officer image teacher.,90.0,55.7
S10319,Science,109,90,Who all item property box kid of as compare record leg.,90.0,103.3
S04475,Science,98,100%,Summer less six along focus son remain prepare heart.,100.0,98.6
S10049,Science,48,80%,All challenge read ask employee professor which recognize.,80.0,57.599999999999994
S06380,Math,50,80%,Experience off start future hot section girl wife suggest night who.,80.0,59.0
S07148,Science,82,90,Investment raise throughout everybody popular design bed.,90.0,84.4
S03606,Geography,89,90,Ever rock above special challenge court price current artist total several them.,90.0,89.3
S07718,Science,63,80%,Almost wonder business pull member decade production.,80.0,68.1
S08839,Science,49,80%,Truth street that against measure must administration Democrat.,80.0,58.3
S04257,English,58,95,Authority common stay listen about health work doctor send unit no.,95.0,69.1
S04341,Arabic,82,80%,Door reach arrive lawyer offer believe work special off manager find physical through.,80.0,81.4
S02206,Geography,95,95,Agent politics win foot time mention again by last.,95.0,95.0
S02645,Arabic,108,80%,Degree example thousand dinner stop government I child enough information investment.,80.0,99.6
S10876,Math,40,90,Age without have claim institution available word service range certainly student artist.,90.0,55.0
S00951,English,91,-5,Pull director beyond form dog than stand voice billion culture.,5.0,65.19999999999999
S02661,Math,49,95,Tonight recently production forward win beat trouble fly despite professional around.,95.0,62.8
S11791,Geography,110,-5,Option significant medical kind husband when important particular.,5.0,78.5
S03484,History,62,90,Special spend about player wall edge.,90.0,70.4
S09347,History,102,95,International environmental any through expert long base thought situation rate job manage.,95.0,99.89999999999999
S02672,English,52,100%,Forget team news point evidence nearly.,100.0,66.4
S09406,English,44,80%,None both much be recently kitchen theory parent discover carry great wrong need.,80.0,54.8
S04793,Science,106,-5,Speak where lay both season before dinner until moment including bill computer.,5.0,75.69999999999999
S09630,Science,83,100%,Some cut still ready at ok everyone certain education if gun dinner speak.,100.0,88.1
S03555,Math,89,-5,Million put yard memory care interesting lay.,5.0,63.8
S10752,History,62,90,Moment arrive foot would senior nice color my focus unit.,90.0,70.4
S03247,English,71,95,Figure national establish indeed relationship later staff.,95.0,78.19999999999999
S03193,Arabic,67,-5,Everybody scientist ahead there show however.,5.0,48.4
S06177,Math,46,90,Against I suddenly plant window big guess issue continue behavior.,90.0,59.199999999999996
S08632,English,77,100%,Boy more grow top box seven series property.,100.0,83.9
S03108,Arabic,97,100%,Someone crime late station until go how building dinner everyone certainly technology.,100.0,97.89999999999999
S07563,Arabic,56,80%,Land television business final possible family above without play soon according who film.,80.0,63.199999999999996
S08299,Math,51,80%,Woman everybody stage certainly possible still leg easy focus picture material market bar.,80.0,59.699999999999996
S09999,English,68,-5,Stock brother many song until stand like same foot measure minute.,5.0,49.099999999999994
S03176,Science,51,80%,Adult if cause forward affect cup bag low.,80.0,59.699999999999996
S11177,Geography,97,80%,Lead it main itself throw school thank decide product four smile word trial.,80.0,91.89999999999999
S10298,Geography,105,95,Adult nor low court bring likely north.,95.0,102.0
S10968,Arabic,62,100%,Night democratic thank front town ok difference.,100.0,73.4
S08581,Arabic,64,90,Side anything number data top no sit.,90.0,71.8
S09342,Arabic,46,90,Certainly any sport area gun whose any simple never turn.,90.0,59.199999999999996
S01652,English,59,95,Garden size despite easy section growth push again line current school image.,95.0,69.8
S03193,Geography,44,100%,,100.0,60.8
S05813,History,66,80%,Get successful evening part by week upon similar relationship.,80.0,70.19999999999999
S01192,Arabic,64,100%,Forget too operation every add would me become finish.,100.0,74.8
S00413,Math,110,-5,Machine exactly hour compare thousand catch world democratic top usually realize former spring.,5.0,78.5
S09997,English,90,100%,Professional partner technology life do off activity PM senior instead.,100.0,93.0
S04462,History,49,-5,Congress technology often drop west full type eight Mr fall month.,5.0,35.8
S07837,Science,63,95,Pressure instead expect professional carry peace consumer.,95.0,72.6
S08470,Science,83,80%,Other fund hospital reach firm able study back major sound plant increase most.,80.0,82.1
S10501,Science,43,100%,Newspaper possible medical investment nice wall shake generation.,100.0,60.099999999999994
S01315,History,96,100%,Everything develop call suggest computer in although available environmental.,100.0,97.19999999999999
S02861,Geography,102,80%,Song throw fact between later practice house at.,80.0,95.39999999999999
S09437,Arabic,71,90,The energy bad someone in a how.,90.0,76.69999999999999
S03402,Arabic,56,-5,One red reduce dinner author together figure.,5.0,40.699999999999996
S08088,Science,88,90,Small fall find issue least hot chance factor.,90.0,88.6
S02707,Math,57,95,Establish either special draw situation military exactly sense.,95.0,68.4
S05558,History,66,95,Standard this your teacher will teacher away.,95.0,74.69999999999999
S01231,History,50,95,The make agree however involve certainly next morning born drug right talk program.,95.0,63.5
S09180,English,46,80%,Plant reason good arrive leader teacher seem TV century.,80.0,56.199999999999996
S04782,History,61,90,Board for with finally provide describe defense smile hold paper food.,90.0,69.69999999999999
S00159,English,97,100%,Nice write perhaps instead see teacher the industry effort its bed.,100.0,97.89999999999999
S11852,Science,44,90,Indeed free common away take test through.,90.0,57.8
S06991,Arabic,77,95,Fact certain field hotel political area left.,95.0,82.4
S05814,Math,81,-5,Suddenly military bring heavy home send suddenly happen everything common person much difference.,5.0,58.199999999999996
S11840,Geography,62,95,Nor industry improve group friend human next per spend seven talk.,95.0,71.9
S01182,Math,86,80%,Necessary together condition him measure catch budget phone.,80.0,84.19999999999999
S03961,Geography,52,100%,Meet increase career marriage certainly loss agreement.,100.0,66.4
S05363,English,73,80%,,80.0,75.1
S07819,Math,105,100%,Certainly line rate main state must reach.,100.0,103.5
S11269,English,103,100%,Street scientist century skin skin somebody rich over quality expect.,100.0,102.1
S09574,English,81,95,Civil anyone game really find both.,95.0,85.19999999999999
S05499,Arabic,46,100%,As member husband challenge officer throw often before type responsibility.,100.0,62.199999999999996
S10592,Geography,107,80%,Contain high allow newspaper garden article learn pressure mind write.,80.0,98.89999999999999
S03629,Science,103,95,Serve system improve expect account middle go yet.,95.0,100.6
S06712,Geography,83,100%,Season watch participant other second note culture realize face picture measure.,100.0,88.1
S07719,History,58,-5,Nation into although within president tonight claim through someone upon.,5.0,42.099999999999994
S10135,Science,61,80%,Own spend time couple phone firm give help prove stay popular.,80.0,66.69999999999999
S00283,Arabic,100,-5,Future law their training than cell cold window economic sell new media job.,5.0,71.5
S04549,English,48,90,Art one perform list reduce group something my structure join alone.,90.0,60.599999999999994
S00370,English,51,95,Main miss already now learn picture indicate somebody.,95.0,64.19999999999999
S03025,Geography,43,95,Bed either your growth across step piece beat green fear.,95.0,58.599999999999994
S02488,History,96,-5,Box free where wind network record sound third.,5.0,68.69999999999999
S07536,Arabic,90,-5,Unit need why note skill just man education.,5.0,64.5
S00756,Science,48,100%,Smile recently add provide find tell other form.,100.0,63.599999999999994
S09623,Science,81,-5,Gas church woman worker finish memory success step including remember.,5.0,58.199999999999996
S05804,Math,96,80%,Important drug friend himself even north remember cause issue country.,80.0,91.19999999999999
S07874,English,85,80%,Story behavior notice agency direction example.,80.0,83.5
S00753,Arabic,101,90,Like simply something actually because development.,90.0,97.69999999999999
S12118,Geography,96,100%,Investment sing floor you politics investment more care treatment evening.,100.0,97.19999999999999
S02049,Science,81,-5,Author prove run or animal name college public exist tonight example have big.,5.0,58.199999999999996
S08679,Arabic,47,-5,There medical physical guess why guess.,5.0,34.4
S04694,Arabic,79,80%,Role up big there grow something doctor.,80.0,79.3
S06518,Arabic,47,-5,,5.0,34.4
S09630,History,102,95,Result return bill indeed region station many team compare couple charge apply consider.,95.0,99.89999999999999
S12106,Arabic,80,80%,Opportunity rock alone season federal want recent president even remain less officer knowledge.,80.0,80.0
S11575,History,107,100%,Why whose board happen difference moment leader experience do a Mrs message enough.,100.0,104.89999999999999
S02944,Science,103,90,Choose father or difficult charge share strong billion response property party.,90.0,99.1
S04129,History,76,80%,Rise I summer draw Congress rest company.,80.0,77.19999999999999
S03626,Math,60,95,Hot first fact there fire child.,95.0,70.5
S10220,Geography,54,-5,Loss quickly better manage mother walk morning source yard explain including them upon.,5.0,39.3
S05161,Science,85,-5,Finish force prevent to significant test indicate would start.,5.0,60.99999999999999
S00377,Geography,70,90,Rise foreign culture probably democratic something really.,90.0,76.0
S04908,English,68,90,Against benefit bag head raise wife.,90.0,74.6
S07908,Math,88,100%,Shoulder need area leave analysis want prove listen.,100.0,91.6
S06283,Arabic,108,95,There type current well pattern a.,95.0,104.1
S03526,History,50,-5,Window possible require certainly than past painting rest rather could reduce our.,5.0,36.5
S01243,English,63,95,Girl beat leg either job which small service very live school standard above.,95.0,72.6
S02395,Math,86,95,Situation anyone player current accept describe cover until.,95.0,88.69999999999999
S00189,Science,95,100%,,100.0,96.5
S04183,Math,95,95,Without work enter force key cup risk TV yourself difference data few company.,95.0,95.0
S07459,History,74,90,Provide able international body win from.,90.0,78.8
S10882,Science,69,90,However author so involve never attention walk notice push main spring.,90.0,75.3
S07063,Math,101,95,,95.0,99.19999999999999
S10487,Geography,97,90,Last page necessary message accept herself training collection onto.,90.0,94.89999999999999
S09341,Science,106,-5,Million a might them cup director particularly month continue write.,5.0,75.69999999999999
S01789,Math,69,-5,Natural where his yard live piece mission keep.,5.0,49.8
S10838,Science,67,-5,Perhaps hospital red discuss Mrs take special.,5.0,48.4
S07822,Geography,50,95,Get thank glass alone act present state.,95.0,63.5
S00310,Math,72,90,Outside worker your fall series one amount research read because education fall.,90.0,77.4
S02042,Geography,88,80%,Election politics Democrat hit TV month front value main ok glass.,80.0,85.6
S07488,Arabic,63,95,North course interesting pretty city they role give.,95.0,72.6
S11291,Arabic,104,100%,Into within station laugh lose fear.,100.0,102.8
S03077,History,89,90,Meeting eight green natural development public hand music act book.,90.0,89.3
S01922,Science,66,95,Whose agency ever war young increase sing usually person course step fall.,95.0,74.69999999999999
S00086,Arabic,67,100%,Education pay above car quite first partner.,100.0,76.9
S02990,English,78,100%,Manager yard fine long price whether use kitchen fact hard inside democratic art.,100.0,84.6
S00464,Geography,50,100%,,100.0,65.0
S09189,English,95,100%,Information capital almost foreign every during effect political.,100.0,96.5
S03814,English,56,100%,Many beautiful be great including must many anyone heavy baby.,100.0,69.19999999999999
S04617,Science,61,95,Group join drop party help political inside price.,95.0,71.19999999999999
S06884,Arabic,41,95,Something bill realize much apply stage long nature after during.,95.0,57.2
S11178,English,106,-5,Attorney nice fall return center list level whether.,5.0,75.69999999999999
S00446,Science,69,90,Nothing nice protect enough audience large she mother human city increase professor.,90.0,75.3
S03962,English,48,-5,Political finish edge test general player military.,5.0,35.099999999999994
S08632,Geography,62,100%,About many indicate I develop quite time two behind former.,100.0,73.4
S12075,Arabic,71,90,Face conference reflect when now bank cover.,90.0,76.69999999999999
S02552,Math,57,80%,It citizen three plan seat heart.,80.0,63.9
S09220,Arabic,52,-5,Message and environment big southern development cup eye white us teach style.,5.0,37.9
S07728,Science,108,95,Including paper first continue task ago national follow collection continue west.,95.0,104.1
S05657,History,97,-5,Almost model feeling culture technology actually stuff any rich add arm fast.,5.0,69.39999999999999
S12017,English,97,95,The most former unit remember site recent than song chair issue.,95.0,96.39999999999999
S06213,Arabic,97,90,,90.0,94.89999999999999
S10342,Geography,87,-5,Strong stay sea fill father their tend.,5.0,62.4
S06635,Geography,44,90,Group position best attention ago small draw.,90.0,57.8
S05702,Math,93,95,Physical leader rich dog he baby realize reveal record product skin ago.,95.0,93.6
S04096,Math,76,80%,Bill partner boy end among medical significant lawyer performance shake should clear small let.,80.0,77.19999999999999
S09899,Math,45,100%,,100.0,61.5
S02269,Arabic,98,80%,Ahead true clearly charge international control keep large follow.,80.0,92.6
S03826,Science,109,95,Expect minute house exactly those perform open discussion top.,95.0,104.8
S02938,History,109,-5,Young manager might few less production quality guess art environmental mission four court.,5.0,77.8
S08749,Math,51,80%,Walk help deep form fight girl might hair suggest sure as present.,80.0,59.699999999999996
S04652,Science,81,95,Your return just many the really involve help north.,95.0,85.19999999999999
S10506,Geography,97,100%,Cup central imagine science begin note feel then discover old.,100.0,97.89999999999999
S10324,Math,43,-5,Meeting power cold month seem key pay.,5.0,31.599999999999998
S01309,Geography,40,-5,Nearly number history front song information figure building leave throw health chance.,5.0,29.5
S00472,Geography,80,80%,,80.0,80.0
S01260,Math,64,95,Dog hour personal only second now police add must wish ready range.,95.0,73.3
S05446,History,42,80%,Energy marriage common religious make I who police recent economy drive technology.,80.0,53.4
S11708,Science,43,-5,War tree avoid opportunity can system research able its until happen.,5.0,31.599999999999998
S11968,Arabic,43,-5,Summer fund natural probably society have until measure line although new hand.,5.0,31.599999999999998
S01379,Arabic,66,90,Under nice smile field class system movement nation whose.,90.0,73.19999999999999
S04108,Geography,101,80%,Interest Democrat claim trial condition drop attorney just.,80.0,94.69999999999999
S02918,Science,92,-5,Audience later sort decide understand technology dog Republican former spend never let.,5.0,65.89999999999999
S10277,English,106,-5,Benefit ask political worry professional eight everyone.,5.0,75.69999999999999
S01181,History,84,80%,Sense pretty herself method would why responsibility me world blue ok imagine same imagine.,80.0,82.8
S02605,Math,78,95,Authority our PM recent what company seven glass.,95.0,83.1
S03114,English,106,95,Old involve only nice develop box up.,95.0,102.69999999999999
S00054,Arabic,71,80%,His break gun my power control while.,80.0,73.69999999999999
S06473,Geography,78,80%,Ability environment fight modern shake ten spend.,80.0,78.6
S09741,English,69,80%,Deal between trouble federal west interesting agree him stand go tree century.,80.0,72.3
S09166,Arabic,59,-5,Increase structure couple his street truth address close.,5.0,42.8
S05977,Science,67,-5,Establish market month manage sit also simple.,5.0,48.4
S01066,English,71,100%,Soon figure mind can treat analysis station politics create ask of share second.,100.0,79.69999999999999
S09172,English,81,80%,Wear name task response follow of north.,80.0,80.69999999999999
S06121,Math,108,95,Tonight both every history media camera hear occur local understand avoid admit fight.,95.0,104.1
S11313,Math,85,100%,Guess power themselves station high name pretty back ten defense.,100.0,89.5
S08235,Science,92,90,Along next least concern close beautiful business often.,90.0,91.39999999999999
S09314,Geography,63,95,,95.0,72.6
S08323,Arabic,68,80%,Threat site realize center morning theory production Congress able where also agreement smile.,80.0,71.6
S03001,Geography,100,-5,Tree summer culture course cell whom do.,5.0,71.5
S04460,Science,44,100%,Specific this sea black structure across discover bank.,100.0,60.8
S00092,Arabic,95,100%,Adult data anyone hit throughout from food daughter business effort age.,100.0,96.5
S00919,Arabic,84,80%,Degree financial consumer east box approach after reveal.,80.0,82.8
S07985,Geography,97,80%,Still citizen act kid hard here consider Congress serve our medical popular floor.,80.0,91.89999999999999
S09419,Science,52,80%,Military discussion final meet poor vote.,80.0,60.4
S07605,Arabic,47,95,Toward fine also trade cultural government base discover industry effect college single fire.,95.0,61.4
S02208,Science,109,90,Mention air seek different economy entire military ground mission firm.,90.0,103.3
S01607,Math,72,-5,There factor attorney player member prove push view.,5.0,51.9
S00038,Arabic,60,90,Partner wife important story performance a catch who out lot camera cultural.,90.0,69.0
S06416,Geography,62,80%,Nature nor kid rest church spring throughout fall heavy beautiful.,80.0,67.4
S04039,Math,41,-5,Treatment art attorney by recognize newspaper agreement PM fund fast true national.,5.0,30.2
S06819,Math,67,95,Amount page their maintain base future fire medical.,95.0,75.4
S07581,Geography,64,80%,Civil few shoulder central individual four late decision guess song.,80.0,68.8
S07886,History,78,90,,90.0,81.6
S01466,Science,45,-5,Alone couple check piece language car chance.,5.0,33.0
S09165,Math,97,95,Style face provide audience range sign top tough officer avoid wait political.,95.0,96.39999999999999
S06330,Science,51,90,Professional Republican trial fish wrong finally role scientist sea news.,90.0,62.699999999999996
S00081,Geography,86,100%,Write eight second sort medical get.,100.0,90.19999999999999
S08880,Arabic,62,100%,Board certain various move try money direction food stay that onto last.,100.0,73.4
S01621,English,104,80%,Partner indicate hair chair decade bar reality energy.,80.0,96.8
